# # alphas_L2,errors_L2,lambdas_L2,errors_L1,lambdas_L1,errors_Huber,lambdas_Huber,huber_params,errors_BO
1.000000000000000472e-01,9.833465323883089360e-01,3.134192447662356606e+00,9.823564979682056775e-01,2.024601478576659286e+00,9.798299592933281676e-01,1.683549787736115855e+00,1.107934482379472119e+00,9.792943230334099081e-01
1.007709973869312381e-01,9.832199997300761218e-01,3.134122581481936454e+00,9.822219042575430770e-01,2.024496469497680362e+00,9.796762968578713870e-01,1.683382278442960178e+00,1.107884126151937654e+00,9.791363181373060609e-01
1.015479391435689799e-01,9.830925200172512257e-01,3.134052453041079822e+00,9.820862949900032168e-01,2.024390621185301775e+00,9.795214781476347943e-01,1.683213790390269526e+00,1.107833722412799649e+00,9.789771203453886406e-01
1.023308711008483751e-01,9.829640863810130691e-01,3.133981590270999096e+00,9.819496626765241709e-01,2.024283802509307506e+00,9.793654946848306952e-01,1.683044085084747454e+00,1.107782803376224257e+00,9.788167208523964602e-01
1.031198394430598436e-01,9.828346919060912956e-01,3.133909834995868948e+00,9.818119997755301309e-01,2.024176354408264267e+00,9.792083379329920012e-01,1.682872644583921939e+00,1.107731304888347701e+00,9.786551107912316860e-01
1.039148907105734848e-01,9.827043296305055797e-01,3.133837661743167580e+00,9.816732986926054449e-01,2.024067935943603125e+00,9.790499992966220644e-01,1.682699993300132757e+00,1.107679397044384562e+00,9.784922812333536335e-01
1.047160718025844095e-01,9.825729925453026148e-01,3.133764648437503020e+00,9.815335517801687670e-01,2.023958822488784115e+00,9.788904701208421821e-01,1.682526163934877417e+00,1.107627281283698917e+00,9.783282231847095778e-01
1.055234299798793185e-01,9.824406735942931013e-01,3.133691582679752230e+00,9.813927513371448752e-01,2.023848686218261417e+00,9.787297416910385461e-01,1.682350972895447327e+00,1.107574722172850690e+00,9.781629275926049250e-01
1.063370128676243559e-01,9.823073656737889570e-01,3.133617362976077292e+00,9.812508896086359345e-01,2.023737933635710640e+00,9.785678052325078591e-01,1.682174411936597114e+00,1.107521760721747572e+00,9.779963853381019590e-01
1.071568684581744313e-01,9.821730616323381957e-01,3.133543090820316124e+00,9.811079587855909834e-01,2.023626210689544180e+00,9.784046519101022854e-01,1.681996474697871058e+00,1.107468301537080757e+00,9.778285872392320499e-01
1.079830451139042469e-01,9.820377542704608054e-01,3.133467559814456571e+00,9.809639510044743105e-01,2.023513661623000282e+00,9.782402728278724036e-01,1.681817119065146304e+00,1.107414586086780783e+00,9.776595240498837658e-01
1.088155915700611820e-01,9.819014363403831824e-01,3.133392028808597018e+00,9.808188583469328314e-01,2.023400115966796697e+00,9.780746590287092701e-01,1.681636727422832100e+00,1.107360493245298727e+00,9.774891864594125179e-01
1.096545569376400769e-01,9.817641005457726777e-01,3.133315763473513815e+00,9.806726728394615789e-01,2.023285983502864038e+00,9.779078014939868169e-01,1.681454877792167402e+00,1.107306090334858384e+00,9.773175650922468760e-01
1.104999907062802628e-01,9.816257395414706988e-01,3.133238449096682920e+00,9.805253864530688590e-01,2.023170795440673686e+00,9.777396911432003623e-01,1.681271461503733633e+00,1.107251094419903881e+00,9.771446505074937727e-01
1.113519427471848927e-01,9.814863459332267004e-01,3.133160610198977736e+00,9.803769911029392992e-01,2.023054561614990199e+00,9.775703188336070104e-01,1.681086912923367427e+00,1.107195765398673704e+00,9.769704331985434864e-01
